Designator,Footprint,Quantity,Value,LCSC Part #
C10,0402,1,"0.022uF,0402,50V",
"C11, C8",0402,2,"2200pF,0402,50V",
"C12, C13, C14, C15, C16, C19, C2, C3, C4, C5, C9, CA2, CA3, CB1, CB2, CD2, CD4, CD5, CD7, CD9, CI1, CI7, CO1, CO6, CO7",0402,25,"0.1uF,0402,50V",
C18,0402,1,"1000pF,0402,50V",
"C6, C7",0603,2,"1uF,0603,50V",
"CA1, CD3, CD6",0603,3,"22uF,0603,6.3V",
"CD1, CI10, CI3, CI4, CI5, CI8, CO10, CO11, CO12, CO13, CO14, CO15, CO16, CO17, CO3, CO4, CO5",1206,17,"10uF,1206,50V",
CD8,0805,1,"22uF,0805,10V",
CE2,CP_Radial_D8.0mm_P3.50mm,1,"100uF,50V,8*9mm",
"CS1, CS2",0402,2,"0.022uF,0402",
D1,D_SOD-123F,1,1N5819,
D2,D_SOD-323F,1,"1N5819,SOD-323",
"D3, D5",D_SOD-323F,2,BZT52C15,
D4,0402,1,LED_ALT,
D7,D_SOD-123F,1,PMEG6020ER,
F2,FAN_SUN_3010_20x20x6mm,1,Fan,
"H1, H2, H3, H4",MountingHole_2.2mm_M2_Pad_Via,4,MountingHole_Pad,
J1,USB_C_Receptacle_Palconn_UTC16-G,1,USBC,
J2,BarrelJack_CUI_PJ-079BH_Horizontal,1,Jack,
J3,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,XT60,
"J4, J5",PinHeader_1x07_P2.54mm_Vertical,2,Conn_01x07,
J6,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,Conn_01x02,
L1,L_Sunlord_MWSA1265S,1,"4.7uH,1265",
"LD2, LD3",L_Sunlord_SWPA252012S,2,"4.7uH,252012",
"Q1, Q2, Q3, Q4",AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,4,CJAC40N04,
"Q5, Q6",SOT-23,2,SI2302,
"Q7, Q8",AO_DFN-8-1EP_5.55x5.2mm_P1.27mm_EP4.12x4.6mm,2,AON7403,
"R10, R17, R18, R19, R27, R33, R34, R40, R43, R46, R48, R8, R9",0402,13,"10kohm,0402,5%",
"R11, R14",0402,2,"10ohm,0402,5%",
"R12, R13",0402,2,"2.2ohm,04021%",
"R15, R16",0402,2,"5.1kohm,0402,5%",
"R20, R37, R38, R5",0402,4,"10kohm,0402,1%",
"R21, R22, R23, R24, R25, R26, R28, R29, R31, R32, R44",0402,11,"22ohm,0402,5%",
"R30, R41, R42, R49",0402,4,"1kohm,0402,5%",
"R35, R36",0402,2,"2.2kohm,0402,5%",
R39,1206,1,"4.7kohm,1206,5%",
"R45, R47, RD3",0402,3,"100kohm,0402,5%",
"R50, R51",0402,2,"470kohm,0402,5%",
R6,0402,1,"180kohm,04021%",
R7,0402,1,"10kohm,04021%",
"RA1, RA2, RS3, RS4, RS5, RS6",0402,6,"22ohm,0402,1%",
RD1,0402,1,"15kohm,0402,1%",
RD2,0402,1,"47kohm,0402,1%",
RD4,0402,1,"11kohm,0402,1%",
RD5,0402,1,"43kohm,0402,1%",
"RS1, RS10, RS2, RS7, RS8, RS9",2010,6,"0.005ohm,2010,1%",
TH1,0603,1,"NTC,10kohm,0603",
"TP3, TP4",TestPoint_Pad_D1.0mm,2,TestPoint,
U1,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias,1,"SC8815,QFN-32",
U2,QFN-32-1EP_4x4mm_P0.4mm_EP2.65x2.65mm_ThermalVias,1,"CH32L103K8U6,QFN-32",
U3,VSSOP-10_3x3mm_P0.5mm,1,INA226,
U4,SOT-23-5,1,MT3540,
U5,SOT-23-6,1,RY8411,
U6,QFN-16-1EP_3x3mm_P0.5mm_EP1.7x1.7mm_ThermalVias,1,"CH334P,QFN-16",
U7,VSSOP-8_3x3mm_P0.65mm,1,LM2903,
